"coreshop", "CoreShop"
"coreshop_multishop_enabled","Multishop enabled"
"coreshop_system_settings","System Settings"
"coreshop_condition_personas","Personas"
"coreshop_cart_pricerule_voucherCodes","Voucher Codes"
"coreshop_cart_pricerule_useMultipleVoucherCodes","Use Multiple Voucher Codes"
"coreshop_cart_pricerule_usagePerVoucherCode","Usage per Voucher"
"coreshop_cart_pricerule_used","Used"
"coreshop_cart_pricerule_uses","Uses"
"coreshop_cart_pricerule_generate_vouchers","Generate Voucher Codes"
"coreshop_cart_pricerule_amount","Amount"
"coreshop_cart_pricerule_length","Length"
"coreshop_cart_pricerule_alphanumeric","Alphanumeric"
"coreshop_cart_pricerule_alphabetic","Alphabetic"
"coreshop_cart_pricerule_numeric","Numeric"
"coreshop_cart_pricerule_format","Format"
"coreshop_cart_pricerule_prefix","Prefix"
"coreshop_cart_pricerule_suffix","Suffix"
"coreshop_cart_pricerule_hyphensOn","Hyphens all X characters"
"coreshop_cart_pricerule_vouchers_export","Export Voucher Codes (CSV)"
"coreshop_carriers_shipping_rules","Shipping Rules"
"coreshop_carriers_shipping_rule","Shipping Rule"
"coreshop_action_fixedPrice","Fixed Price"
"coreshop_action_additionAmount","Addition Amount"
"coreshop_action_additionPercent","Addition Percent"
"coreshop_condition_weight","Weight"
"coreshop_condition_weight_minWeight","Min Weight"
"coreshop_condition_weight_maxWeight","Max Weight"
"coreshop_condition_dimension","Dimensions"
"coreshop_condition_dimension_height","Height"
"coreshop_condition_dimension_width","Width"
"coreshop_condition_dimension_depth","Depth"
"coreshop_condition_postcodes","Postcodes"
"coreshop_condition_postcodes_exclusion","Exclusion"
"coreshop_condition_carriers","Carriers"
"coreshop_send_usagelog","Send Usagelog to CoreShop"
"coreshop_condition_postcodes_info","You can add multiple postcodes using CSV format. You can also define Ranges. For example 46-49 or WR1-WR5."
"coreshop_priority","Priority"
"coreshop_user","User"
"coreshop_customer_group","Customer Group"
"coreshop_retail_price","Retailprice"
"coreshop_price","Price"
"coreshop_price_rules","Pricerules"
"corshop_price_rule_name","Name"
"coreshop_specific_prices","Product Specific Prices"
"coreshop_country_addressFormat","Address Format"
"coreshop_condition_conditions","Nested Conditions"
"coreshop_condition_conditions_operator_and","And"
"coreshop_condition_conditions_operator_or","Or"
"coreshop_condition_conditions_operator","Operator"
"coreshop_order_confirmation_mail","Order Confirmation Mail"
"coreshop_visitor_settings","Visitor Settings"
"coreshop_visitors_track","Track Visitors"
"coreshop_visitor","Visitor"
"coreshop_visitor_ip","IP"
"coreshop_visitor_referrer","Referrer"
"coreshop_visitor_date","Date"
"coreshop_visitors_keep_days","Keep Tracking Data for X Days (0=infinite)"
"coreshop_category_list_mode","List Mode"
"coreshop_category_list_mode_list","List"
"coreshop_category_list_mode_grid","Grid"
"coreshop_category_list_per_page","List Per-Page Allowed Values"
"coreshop_category_list_per_page_default","List Per-Page Default"
"coreshop_category_grid_per_page","Grid Per-Page Allowed Values"
"coreshop_category_grid_per_page_default","Grid Per-Page Default"
"coreshop_product_filters_use_shop_paging_settings","Use Shop Settings"
"coreshop_product_filters_step_count","Step Count"
"coreshop_product_filters_quantityUnit","Quantity Value"
"coreshop_condition_shippingRule","Shipping Rule"
"coreshop_action_shippingRule","Shipping Rule"
"coreshop_invoice_order","Open Invoice ({0})"
"coreshop_invoice_create_new","Create Inovice for Order"
"coreshop_invoice_no_items","No Invoice able Items found"
"coreshop_invoiced_amount","Invoiced Amount"
"coreshop_amount_to_invoice","To Invoice"
"coreshop_index_interpreter_property","Property"
"coreshop_shipment_create","Create Packing Slip for new Orders"
"coreshop_shipment_order","Open Shipment ({0})"
"coreshop_shipment_create_new","Create Shipment for Order"
"coreshop_shipment_no_items","No Ship able Items found"
"coreshop_shipped_amount","Shipped Amount"
"coreshop_amount_to_ship","To Ship"
"coreshop_shipment_pdf","Shipment PDF"
"coreshop_shipment","Shipment"
"coreshop_shipments","Shipments"
"coreshop_invoices","Invoices"
"coreshop_invoice_date","Invoice Date"
"coreshop_total_without_tax","Total (excl.)"
"coreshop_invoice_number","Invoice Number"
"coreshop_product_filters_combined","Combined"
"coreshop_no_currencies","No Currencies activated"
"coreshop_discount_without_tax","Discount (excl.)"
"coreshop_discount_tax","Discount Tax"
"coreshop_subtotal","Subtotal"
"coreshop_subtotal_without_tax","Subtotal (excl.)"
"coreshop_subtotal_tax","Subtotal Tax"
"coreshop_shipping_without_tax","Shipping (excl.)"
"coreshop_customer_carts","Customer Carts"
"coreshop_customer_orders","Customer Orders"
"coreshop_address","Address"
"coreshop_free_shipping","Free Shipping"
"coreshop_order_create","Create Order"
"coreshop_creating_order","Order is being created"
"coreshop_category_variant_mode","Variant Mode"
"coreshop_category_variant_mode_hide","Hide"
"coreshop_category_variant_mode_include","Show"
"coreshop_category_variant_mode_include_parent_object","Consider for results, bot do not display"
